Step	Training Loss
456	1.122500
457	1.040500
458	1.371000
459	1.330800
460	0.954800
461	1.339800
462	1.134000
463	0.834200
464	1.278900
465	1.235900
466	1.086000
467	1.144100
468	1.341800
469	1.028700
470	1.001400
471	1.054100
472	1.133300
473	1.137300
474	1.221600
475	0.939500
476	1.047500
477	1.092700
478	1.090700
479	1.001100
480	1.337200
481	1.013800
482	0.992100
483	1.060300
484	1.123700
485	1.236200
486	1.100100
487	0.981700
488	1.276500
489	1.129200
490	1.077600
491	0.966700
492	1.155700
493	1.171600
494	1.440800
495	1.019900
496	1.053000
497	1.360400
498	1.286100
499	0.874000
500	1.197600
501	1.227000
502	1.285800
503	0.923900
504	0.982800
505	1.030600
506	1.197600
507	1.066100
508	0.876000
509	1.104900
510	1.136900
511	1.726200
512	1.014400
513	1.200300
514	1.002500
515	1.063900
516	1.119900
517	0.853000
518	1.115800
519	1.168500
520	1.296300
521	1.119900
522	1.046000
523	1.086700
524	1.265500
525	1.202900
526	1.181000
527	1.004800
528	1.265800
529	1.005900
530	1.160900
531	1.268900
532	0.903000
533	0.977900
534	1.298900
535	1.294900
536	1.423800
537	1.114000
538	1.138600
539	1.271900
540	1.176500
541	1.075400
542	1.381900
543	1.113600
544	0.901400
545	1.186500
546	0.888800
547	1.194900
548	1.027200
549	1.187500
550	1.053300
551	0.857700
552	1.150100
553	1.028300
554	1.304000
555	1.173100
556	0.977000
557	1.160600
558	0.868800
559	1.226600
560	1.268100
561	1.238700
562	1.527400
563	0.818500
564	1.172100
565	1.085800
566	1.194100
567	1.061000
568	1.071900
569	1.167100
570	1.064700
571	1.192600
572	1.328000
573	1.148700
574	1.428400
575	1.259700
576	1.384800
577	1.314300
578	1.126700
579	1.105300
580	0.959700
581	1.122000
582	1.468800
583	1.095400
584	0.863400
585	1.336500
586	0.983700
587	1.410600
588	0.976300
589	1.144900
590	1.031000
591	0.908500
592	1.687700
593	0.992800
594	0.911100
595	1.207600
596	1.431400
597	0.944300
598	0.984200
599	1.168300
