Step	Training Loss
1	3.291500
2	3.180600
3	3.280400
4	2.996000
5	2.782400
6	3.421100
7	3.214600
8	3.131100
9	3.472500
10	3.349400
11	3.575500
12	2.989800
13	3.659100
14	2.646800
15	3.610300
16	3.383900
17	3.434100
18	2.885000
19	3.510900
20	3.469500
21	2.979400
22	3.156900
23	3.937000
24	3.468100
25	2.910400
26	3.605400
27	2.925500
28	3.297400
29	3.369400
30	3.168900
31	3.466400
32	3.181700
33	3.157500
34	2.748800
35	3.212700
36	3.702400
37	3.190900
38	3.051700
39	3.112500
40	3.166100
41	3.555200
42	3.458000
43	3.289900
44	3.568300
45	3.636800
46	3.160700
47	3.704000
48	3.424900
49	3.417800
50	3.168300
51	3.447400
52	2.955500
53	2.693500
54	3.141000
55	3.336800
56	2.789600
57	3.142300
58	3.319500
59	2.815000
60	2.956600
61	3.123300
62	2.962500
63	3.205400
64	3.066400
65	2.755700
66	3.028100
67	3.280800
68	3.557700
69	3.300400
70	3.428900
71	3.033700
72	3.517500
73	2.713900
74	3.345900
75	3.019900
76	2.850100
77	3.155000
78	3.243200
79	3.424100
80	3.147800
81	3.465500
82	2.970400
83	2.537400
84	3.477000
85	3.054600
86	3.374200
87	3.029900
88	3.526800
89	3.105300
90	2.904600
91	2.832900
92	3.023900
93	3.411200
94	3.386200
95	3.141100
96	3.241900
97	3.358400
98	3.435300
99	3.269900
100	3.515200
101	3.263500
102	3.568900
103	3.280200
104	3.628000
105	2.748900
106	2.916000
107	3.388700
108	3.301400
109	3.239200
110	2.921500
111	3.020100
112	3.087000
113	3.415800
114	3.513100
115	3.144500
116	3.294100
117	3.313700
118	3.441800
119	2.995400
120	2.999200
