Step	Training Loss
1	3.291500
2	3.180600
3	3.278300
4	2.995500
5	2.781700
6	3.416900
7	3.209700
8	3.124700
9	3.462300
10	3.332900
11	3.557000
12	2.964300
13	3.619100
14	2.615100
15	3.546100
16	3.319300
17	3.348200
18	2.813400
19	3.430700
20	3.361500
21	2.867400
22	3.022900
23	3.792700
24	3.289500
25	2.804000
26	3.355300
27	2.697700
28	3.138700
29	3.125400
30	2.850700
31	3.118000
32	2.864800
33	2.901100
34	2.540100
35	2.945500
36	3.260500
37	2.874400
38	2.608600
39	2.711200
40	2.897900
41	3.014200
42	3.032800
43	2.898800
44	3.055500
45	3.063400
46	2.824700
47	3.099100
48	2.893200
49	2.795400
50	2.666700
51	3.008700
52	2.607500
53	2.364600
54	2.586300
55	2.654800
56	2.356200
57	2.622600
58	2.904000
59	2.190500
60	2.404400
61	2.606200
62	2.416900
63	2.492800
64	2.583500
65	2.353500
66	2.394600
67	2.864100
68	2.654400
69	2.778700
70	2.728000
71	2.360800
72	2.894400
73	2.082000
74	2.721300
75	2.546900
76	2.301600
77	2.567100
78	2.422700
79	2.385600
80	2.295000
81	2.860000
82	2.457400
83	2.179600
84	2.869200
85	2.163900
86	2.389100
87	2.186800
88	2.722800
89	2.425600
90	2.052800
91	2.216700
92	1.973200
93	2.514600
94	2.408900
95	2.303900
96	2.615500
97	2.303800
98	2.298600
99	2.236600
100	2.289600
101	2.237500
102	2.528100
103	2.060800
104	2.433400
105	2.125200
106	2.123300
107	2.117100
108	2.046200
109	2.122100
110	1.906500
111	2.088800
112	2.147100
113	2.292100
114	2.694800
115	2.339600
116	2.375600
117	2.093500
118	2.125400
119	2.091800
120	1.871700
