Step	Training Loss
1	3.291500
2	3.180600
3	3.281500
4	2.995200
5	2.783500
6	3.419100
7	3.214300
8	3.129500
9	3.468100
10	3.348600
11	3.575800
12	2.988500
13	3.654800
14	2.645100
15	3.603100
16	3.379200
17	3.428000
18	2.880200
19	3.500700
20	3.458900
21	2.971000
22	3.144800
23	3.929800
24	3.454000
25	2.900500
26	3.583700
27	2.907100
28	3.280400
29	3.348300
30	3.141000
31	3.433300
32	3.153900
33	3.133800
34	2.729200
35	3.189500
36	3.665400
37	3.162500
38	3.011000
39	3.071600
40	3.140700
41	3.501000
42	3.414700
43	3.248500
44	3.514400
45	3.577700
46	3.124600
47	3.639600
48	3.364800
49	3.349200
50	3.113500
51	3.398100
52	2.912600
53	2.652800
54	3.077000
55	3.253100
56	2.736700
57	3.076000
58	3.268300
59	2.738100
60	2.884500
61	3.058300
62	2.893800
63	3.112500
64	3.000100
65	2.701200
66	2.944400
67	3.224400
68	3.430700
69	3.228800
70	3.331800
71	2.935000
72	3.429500
73	2.625000
74	3.260400
75	2.955800
76	2.773000
77	3.069400
78	3.128800
79	3.272000
80	3.019300
81	3.377800
82	2.894900
83	2.483800
84	3.389600
85	2.925600
86	3.232000
87	2.902100
88	3.412900
89	3.004700
90	2.777000
91	2.742900
92	2.867800
93	3.276400
94	3.242600
95	3.015600
96	3.147800
97	3.195700
98	3.268100
99	3.115800
100	3.328600
101	3.105900
102	3.414700
103	3.096100
104	3.439300
105	2.656700
106	2.797200
107	3.197800
108	3.115300
109	3.066200
110	2.760400
111	2.878300
112	2.945200
113	3.242200
114	3.390600
115	3.025300
116	3.152200
117	3.124800
118	3.236800
119	2.856800
120	2.827700
