Step	Training Loss
1	3.291500
2	3.180600
3	3.278400
4	2.983900
5	2.765600
6	3.351300
7	3.121700
8	2.919300
9	3.208500
10	2.947000
11	3.066700
12	2.401700
13	2.863800
14	2.056300
15	2.471800
16	2.375600
17	2.191300
18	1.871600
19	2.482600
20	2.166800
21	1.655000
22	1.754400
23	2.503300
24	1.816600
25	2.033600
26	1.576400
27	1.162700
28	2.176400
29	1.670300
30	1.130900
31	1.354600
32	1.352800
33	1.768800
34	1.658800
35	1.900600
36	1.569800
37	1.691500
38	1.108600
39	1.380700
40	2.098500
41	1.336800
42	1.755800
43	1.789700
44	1.674000
45	1.508600
46	1.942900
47	1.625400
48	1.564700
49	1.369100
50	1.528900
51	1.985600
52	1.827000
53	1.730400
54	1.408900
55	1.397900
56	1.514000
57	1.713500
58	2.095800
59	1.074800
60	1.487200
61	1.696500
62	1.554800
63	1.273200
64	1.810300
65	1.731800
66	1.368400
67	2.244300
68	1.338300
69	2.073300
70	1.776400
71	1.487600
72	2.027700
73	1.232100
74	1.887500
75	1.928900
76	1.655400
77	1.848900
78	1.488800
79	1.238200
80	1.356100
81	2.208700
82	1.834800
83	1.811800
84	2.151500
85	1.328100
86	1.352900
87	1.347900
88	1.943400
89	1.710600
90	1.324600
91	1.618800
92	1.017700
93	1.672900
94	1.565700
95	1.530500
96	1.998500
97	1.395100
98	1.331800
99	1.315700
100	1.316800
101	1.425300
102	1.602900
103	1.098800
104	1.532700
105	1.611100
106	1.473600
107	1.138500
108	1.120800
109	1.180700
110	1.106900
111	1.313200
112	1.450700
113	1.455100
114	2.047800
115	1.706700
116	1.680700
117	1.198000
118	1.160700
119	1.396400
120	0.935600
121	1.208000
122	1.510300
123	1.794100
124	1.807700
125	1.790100
126	1.895100
127	1.510400
128	1.521600
129	1.708100
130	1.625800
131	1.395600
132	1.954900
133	0.820600
134	1.386200
135	1.027700
136	1.137600
137	1.746000
138	1.961300
139	1.331900
140	1.813400
141	1.718300
142	1.214000
143	1.776100
144	1.596500
145	1.486200
146	1.378500
147	1.800000
148	1.848400
149	1.613400
150	1.177100
151	1.471800
152	1.719700
153	1.577200
154	1.869400
155	1.040000
156	1.104300
157	1.466300
158	1.161000
159	1.525400
160	1.424100
161	1.883900
162	1.399600
163	1.609600
164	1.855000
165	1.748300
166	1.501700
167	1.519500
168	1.726800
169	1.925200
170	1.622700
171	1.775400
172	1.717000
173	1.039200
174	1.782000
175	1.513500
176	1.543600
177	1.860300
178	1.580800
179	1.572500
180	1.592400
181	1.337300
182	2.055500
183	1.738300
184	1.722100
185	1.702400
186	1.986800
187	1.342900
188	1.337000
189	1.423300
190	1.760200
191	1.804800
192	1.374800
193	1.620400
194	1.875000
195	1.442800
196	1.458000
197	1.953300
198	1.693700
199	1.516800
200	1.733100
201	1.339600
202	1.354900
203	1.179800
204	1.475200
205	1.619800
206	1.357400
207	1.455300
208	1.964200
209	1.562200
210	1.327800
211	1.215000
212	1.328500
213	1.284900
214	1.757600
215	1.808300
216	1.436000
217	1.435400
218	1.920600
219	1.537400
220	1.639200
221	1.361000
222	1.396600
223	1.951700
224	1.662700
225	1.004400
226	1.942100
227	1.284000
228	1.975900
229	1.764400
230	1.474400
231	1.632100
232	1.421600
233	0.980200
234	1.551900
235	1.487300
236	1.163100
237	1.785900
238	1.653100
239	1.172000
240	1.507100
241	1.833100
242	1.546500
243	1.762500
244	1.143300
245	1.195100
246	1.452700
247	1.525200
248	1.812200
249	1.688100
250	1.474900
251	1.385900
252	1.235900
253	1.433300
254	1.729400
255	1.314000
256	1.416400
257	1.880200
258	1.547300
259	1.727700
260	0.911500
261	1.554100
262	1.433500
263	2.020500
264	1.363500
265	1.119500
266	1.774600
267	1.478700
268	1.042800
269	1.311500
270	1.376800
271	1.894100
272	1.732400
273	1.721200
274	0.890800
275	1.488300
276	1.357100
277	1.280900
278	1.819900
279	1.488300
280	1.584900
281	1.362300
282	1.839900
283	1.673200
284	1.669900
285	1.321400
286	2.193700
287	1.149900
288	1.148300
289	1.669400
290	1.070500
291	1.091800
292	2.118600
293	1.571600
294	1.607100
295	0.972300
296	1.369500
297	1.290000
298	1.202100
299	1.888600
300	1.778800
301	1.604200
302	1.605900
303	1.369300
304	1.599100
305	1.498900
306	1.694100
307	1.476800
308	1.194000
309	1.131100
310	1.419200
311	1.848000
312	1.963600
313	1.114900
314	1.754900
315	0.966700
316	1.016300
317	1.792700
318	1.934900
319	2.035400
320	1.436400
321	1.694700
322	2.042300
323	2.027100
324	1.332500
325	1.568000
326	1.574200
327	1.240400
328	1.460100
329	1.554500
330	1.735600
331	1.821100
332	1.579600
333	1.692600
334	1.583200
335	1.809200
336	2.220900
337	1.231500
338	1.555800
339	1.462900
340	1.777600
341	1.196700
342	1.826500
343	1.423800
344	1.479100
345	1.773600
346	1.564100
347	2.226100
348	1.461400
349	1.244300
350	1.639900
351	1.388600
352	1.088000
353	1.823800
354	1.325900
355	1.738600
356	1.372200
357	1.000500
358	1.120800
359	2.359800
360	1.622500
